"Sample","Traverse","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","PERCENTDIST","ABSDIST","Drift.nm.s.","Species","Macaca"
"MacacaA","BuccalWall",323.066265,15728.24534,175.453918,3350471.59,389.356144,390.298642,84.926833,85.98778137,4.694338,4.007879,241.930973,1.655092,-58.962003,4.8765,11.67655027,79.37883849,-0.078192,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",333.997047,15650.47979,175.288546,3560350.214,400.495856,400.960121,82.307992,83.13116748,4.39577,6.055896,259.329965,1.586286,-58.943003,4.87,8.722674894,59.29797636,-0.110394,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",326.487019,15735.27769,178.698588,3415503.814,393.082903,392.528158,85.66996,86.80094787,4.607015,2.598089,239.992171,1.732284,-58.924003,4.864,5.793629392,39.38591119,-0.083376,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",323.377977,15774.37773,174.268193,3356373.09,390.262064,391.266346,84.278703,85.2794941,4.699828,2.43572,234.176397,1.735459,-58.905503,4.8565,2.860877629,19.44865034,-0.080807,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",326.849655,16168.11454,179.917468,3422432.564,393.574471,394.247701,86.166948,87.34541282,4.724159,2.674074,239.126445,1.726177,-58.887003,4.8505,0,0,-0.114122,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",333.070058,11088.84192,151.236234,3542317.303,387.638391,388.061056,71.194583,71.16352997,3.130392,1.171035,251.520894,1.862216,-56.183003,1.725,7.155635063,20,0.034134,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",328.850476,16993.41752,199.218601,3460780.927,392.305795,392.825743,94.880652,96.97513235,4.910284,5.038769,252.640521,1.643431,-56.163503,1.725,14.13237925,39.5,0.081762,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",328.055458,15904.99198,200.958716,3445519.156,391.14932,387.414635,95.921142,98.13567722,4.616138,0.604561,228.487243,2.008039,-56.083503,1.725,42.7549195,119.5,-0.089294,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",325.708328,16393.45229,188.346265,3400648.085,390.160194,390.987505,90.492169,92.10545466,4.820685,2.220978,237.06407,1.768444,-56.063503,1.725,49.91055456,139.5,-0.084182,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",335.906102,14079.36914,169.920057,3597624.036,399.056958,398.050189,79.372779,79.94611921,3.913519,1.098797,242.724573,1.874582,-56.023503,1.725,64.22182469,179.5,-0.188947,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",326.141187,14658.79004,160.273731,3408902.317,396.226806,394.736911,76.911255,77.28855427,4.30015,9.931451,258.859077,1.485637,-56.003503,1.725,71.37745975,199.5,-0.165956,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",332.434953,11540.00211,146.287138,3529987.508,391.505355,391.599427,68.984955,68.8134776,3.269134,0.343233,229.922832,2.049498,-55.963503,1.725,85.68872987,239.5,-0.130062,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",317.732182,13729.80898,137.398866,3250244.807,392.151459,392.677173,67.524276,67.26525471,4.224238,0.294256,190.359446,2.024662,-55.943503,1.725,92.84436494,259.5,-0.147512,"Macaca mulatta","Macaca"
"MacacaA","LingualBase",315.352026,13761.90165,141.040329,3205986.105,388.652154,388.532699,69.790663,69.66927206,4.292564,0.67634,203.172549,1.899683,-55.923503,1.725,100,279.5,-0.337273,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",318.208047,16087.7175,162.434073,3259127.825,392.393741,392.489188,79.718894,80.3207829,4.936203,13.340119,250.661196,1.432005,-57.087503,3.937,0,0,0.296219,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",305.057544,14306.54135,121.345366,3017862.642,398.065093,393.482067,61.888262,61.3305363,4.74062,13.422952,231.852476,1.370911,-57.083503,3.977,3.407689039,40.19950248,0.117614,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",316.888277,15439.35415,153.722855,3234519.719,399.53174,392.215499,75.730072,76.01763726,4.773307,16.977216,253.491762,1.381211,-57.081503,3.9965,5.069360943,59.80175583,0.038999,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",329.974977,15495.83346,189.437281,3482422.193,390.717161,391.324439,89.941385,91.49713435,4.449729,9.409223,265.926783,1.532992,-57.075503,4.0565,10.18089362,120.1009992,-0.03289,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",338.316775,15271.73111,195.615655,3644954.483,396.109831,396.86934,90.78046,92.42411431,4.189828,1.979134,255.694876,1.808304,-57.072003,4.096,13.54223201,159.7537167,-0.035478,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",330.455179,15379.46943,200.404704,3491683.225,390.392384,388.011723,95.022253,97.13293669,4.4046,1.80769,247.576112,1.829969,-57.070003,4.116,15.24607183,179.8534125,-0.126472,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",331.479739,15746.00785,201.087299,3511481.521,389.908742,390.207993,95.076739,97.19366883,4.484149,4.964434,260.461388,1.656953,-57.067003,4.136,16.95838941,200.0531179,-0.143411,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",336.323505,15376.10854,197.985342,3605798.228,394.093341,394.570653,92.377702,94.19276785,4.264273,2.449753,256.710973,1.775104,-57.065003,4.156,18.66222703,220.1527879,-0.164043,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",336.219494,15721.73392,189.826387,3603760.501,397.379758,398.335728,88.595865,90.0137214,4.362591,4.184969,260.037362,1.669834,-57.063003,4.176,20.36606581,240.2524714,-0.142229,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",336.575218,15894.78384,191.186337,3610731.883,398.952011,398.92846,89.144399,90.61801504,4.402095,4.745038,261.799822,1.649417,-57.060503,4.1955,22.03210405,259.9062331,-0.129827,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",290.762732,22015.87898,173.556378,2765541.157,390.685685,385.901323,92.466697,94.29147118,7.960785,14.264593,206.454022,1.414625,-57.059003,4.2155,23.73158093,279.9544606,-1.89119,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",332.553246,16381.29615,212.897695,3532282.483,389.610792,390.261584,100.364026,103.1171662,4.637595,3.92639,258.789989,1.708656,-57.057503,4.2355,25.43114783,300.00375,-0.089383,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",331.815714,16310.15105,204.454978,3517985.337,390.918158,391.646066,96.579623,98.87132411,4.636219,3.607869,255.089958,1.711791,-57.055003,4.2555,27.13926202,320.1538693,-0.088014,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",330.101766,15902.09945,194.070377,3484866.277,390.788,391.556661,92.108778,93.89460858,4.563188,2.544559,247.469284,1.758453,-57.053003,4.2755,28.84310327,340.2535819,-0.150664,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",323.934855,16526.46271,194.717745,3366928.424,389.727745,387.590312,94.020687,96.0176738,4.908469,15.345496,264.472917,1.450591,-57.046503,4.335,33.91677882,400.1062359,-0.513183,"Macaca mulatta","Macaca"
"MacacaA","LingualCusp",324.846092,17456.44004,205.498249,3384234.258,388.639767,388.55627,98.972091,101.5519438,5.158165,16.472424,265.58682,1.447604,-57.045003,4.355,35.61630381,420.1550309,-0.442497,"Macaca mulatta","Macaca"
